"Name","Description","Fun Fact 1","Fun Fact 2","Fun Fact 3"
"American Water Spaniel Dog Breed ","The American Water Spaniel - originally called the Brown Water Spaniel and now nicknamed the “AWS” - is a medium-sized, dark brown woolly-coated dog that has long been appreciated by American sportsmen - especially in the Midwest, where it gained its reputation as a steady, all-around working gun dog. Today’s American Water Spaniel looks like a shorter, smaller Irish Water Spaniel, except that its legs are less hairy and its tail is more hairy than its larger cousin. This breed is not well-known outside of the United States and is not common even within this country. However, among enthusiasts the American Water Spaniel is prized as an eager and efficient hunter, retriever, watch dog and friendly family companion. The American Water Spaniel is a high energy dog. While they can fit nicely into smaller homes and apartments, they require regular exercise. They tend to be a bit “barky,” which nearby neighbors may not appreciate. The American Water Spaniel was first recognized by the American Kennel Club in 1940, as part of its Sporting Group.","Appearance & Grooming of the American Water Spaniel Dog Breed:  The AWS breed ranges from 15 to 18 inches at the shoulder and their weight ranges between 25 to 45 pounds. Their wavy, dense, water-resistant coat sheds lightly and requires regular brushing.","History and Health of the American Water Spaniel Dog Breed:  Created in the late 1860s, the AWS accompanied settlers to remote areas of the Midwest. They were bred as hunting dogs to flush and retrieve game in all conditions and terrain, including water.","The American Water Spaniel dog breed has a temperament and personality that is friendly, energetic and watchful. Due to its sensitive nature, the American Water Spaniel requires training that is firm but focused on positive reinforcement."
"Anatolian Shepherd Dog Breed ","The Anatolian Shepherd Dog, also known as the Anatolian Karabash Dog, the Anatolische Herdershond, the Coban Köpegi, the Kangal Dog, the Anadolu Kopek, the Karabas, the Turkish Guard Dog, the Turkish Sheepdog and the Karabash Dog, is an ancient guardian breed with its origin in Turkey. The breed was developed to withstand harsh climatic conditions and thrive in the lifestyle of nomadic shepherds, by guarding their flocks of sheep and herds of goats. Loyalty, hardiness and independence are the most valued characteristics of this breed. These dogs first came to America in the mid-1900s. Anatolian Shepherd Dogs are faithful to a fault, highly intelligent and obedient when well trained. They were admitted to the Working Group of the American Kennel Club in 1995.","Appearance & Grooming of the Anatolian Shepherd Dog Breed:  Anatolians are large dogs, standing from 27 to 29 inches at the shoulder and their weight ranges from 80 to 150 pounds. Their short coat is odorless, sheds lightly and requires only minimal grooming.","History and Health of the Anatolian Shepherd Dog Breed:  The breed originated from Turkey as many as 6,000 years ago. Bred for the sole purpose of protecting livestock from predators, its body size and color were created so that the breed would blend in with livestock such as sheep and goats.","The Anatolian Shepherd Dog breed has a temperament and personality that is calm, intelligent and watchful. Due to their independent and stubborn nature, they may or may not choose to follow commands, but they are protective over their home and other people or animals within the home."
"Australian Cattle Dogs ","The Australian Cattle Dog, also known as the Australian Heeler, the Blue Heeler, the Queensland Heeler, the Red Heeler and the Hall’s Heeler, was developed in Australia to drive cattle quietly, calmly and patiently on the long trek to the sales market – a task at that time called being a “drover’s dog.” The breed also can skillfully manage goats, horses, and even ducks and geese. The Cattle Dog is best known for its stamina, versatility and intense focus on whatever task is at hand. It is said to have only two speeds: extremely fast, and fast asleep. It also reportedly holds the record for the longest-living dog: 29 years. The Australian Cattle Dog was recognized by the American Kennel Club in 1980 as a member of its Working Group. The breed was transferred to the Herding Group in 1983.","Appearance & Grooming of the Australian Cattle Dog Breed:  The average Cattle Dog stands about 24 inches high, and they weigh on average between 30 and 40 pounds. Their thick, double coat requires only regular brushing and occasional bathing.","History and Health of the Australian Cattle Dog Breed:  The breed began in Australia in the mid 1800’s when a Dingo was bred with a blue merle Collie. Ranchers needed a no-nonsense dog that could manage skittish cattle without hurting or startling them.","The Australian Cattle Dog breed has a temperament and personality that is independent and strong willed. Their active minds must be given continual mental stimulation or they can become destructive and aggressive."
"Australian Shepherd Dog Breed ","Despite its name, the modern Australian Shepherd was actually developed in the western United States by ranchers and sheepherders. It has been known by many names, including the Spanish Shepherd, Pastor Dog, Bob-Tail, Blue Heeler, New Mexican Shepherd and California Shepherd.  Today, it is typically called by its nickname, the “Aussie.”  This is an extremely sound-minded dog, so versatile that it can adapt to almost any situation or living condition. Aussies are loyal, friendly, affectionate, protective, active, brave, playful, sturdy and tireless.  However, these qualities and traits, while endearing to their fanciers, make Australian Shepherds unsuitable for some households.  They need a fenced yard and regular walks, always on leash.  Their temptation to herd extends beyond livestock to other dogs, children and cars.  If not exercised regularly, they can turn their intense energy to destructive tasks, such as chewing, digging and barking.  According to the parent club, Aussies are quite capable of out-thinking their owners.  They are naturally wary of strangers, and some Australian Shepherds never learn to accept new people.  Naturally protective, they can become aggressive if not raised and socialized properly.","Appearance & Grooming of the Australian Shepherd Dog Breed:  The average Aussie is about 2.5 feet tall, and has a medium body size. On average they weigh between 35 and 60 pounds. They have a thick, medium length, coat which requires regular grooming.","History and Health of the Australian Shepherd Dog Breed:  Today’s Australian Shepherd was developed in the United States, and its ancestors are believed to have come from the Basque region in Europe. Aussies were bred as working dogs to herd cattle and protect livestock from predators.","The Australian Shepherd dog breed has a temperament and personality that has two distinct sides: one is that of a friendly family dog, and the other is that of a highly alert, and sometimes defensive, working dog."
"Australian Terrier Dog Breed ","The Australian Terrier, originally known as the Blue-and-Tan Terrier, the Blue Terrier, the Broken-coated Terrier or the Australian Rough Coated Terrier, and today affectionately known as the Aussie, is one of the smallest working terriers. Accepted into the registry of the American Kennel Club’s Terrier Group in 1960, the Australian Terrier is known for its small stature, rough long coat and plucky personality. The Australian Terrier Club of America joined the AKC in 1977. This little terrier, whose breed was developed specifically to control vermin, remains spirited, alert, courageous and very self-confident, with all the natural aggressiveness of a rodent-seeking terrier and with natural affection for human companionship.","Appearance & Grooming of the Australian Terrier Dog Breed:  The average Aussie stands between 10 to 11 inches at the shoulder and range in weight from 14 to 16 pounds at maturity. Their coarse, double coat requires brushing several times a week to avoid tangles and mats.","History and Health of the Australian Terrier Dog Breed: Developed in the late 1880’s from cross breeding Rough-Coated Terriers from Australia with British terrier breeds, the resulting stout and strong Australian Terrier was an excellent ratter and snake catcher in all kinds of weather and terrain.","The Australian Terrier dog breed has a temperament and personality that is high energy, companionable, and protective. They are particularly attracted to children, the elderly and people with disabilities. Aussies are alert and watchful, but they need early, consistent socialization."
"Azawakh Dog Breed ","Tall and elegant, the Azawakh, also called the Idii n’ Illeli, Tuareg Sloughi, Rawondu, Hanshee, Aidi n'Ailluli (meaning ""Noble Dog of the Free People"") or Idi, is a rare West African sighthound that comes from the countries of Burkina Faso, Mali and Niger. “Azawakh"" means ""land of the north.""  This exotic breed is named after the Azawakh Valley in Mali. These long-legged sighthounds were originally bred to protect livestock.  They then became prized as hunters of large, dangerous prey, working as a pack rather than alone to bring down their targets and provide food for their families. A defining characteristic of this breed is its fluid gait.  The Azawakh’s physical structure allows it to cover extremely uneven terrain swiftly and almost effortlessly.  Its short, smooth coat requires little upkeep.  However, Azawakhs need lots of exercise, every day.  They can withstand high temperatures but don’t do well in cold weather.  Befitting its heritage, the Azawakh is an excellent guardian and a highly successful lure course competitor.  It is increasingly popular as a household companion.  Extremely devoted to their owners, Azawakhs are reserved around strangers but should never be aggressive. ","Appearance & Grooming of the Azawakh Dog Breed: Mature Azawakhs range from 23 to 29 inches at the withers and weigh between 33 and 55 pounds.  They shed very lightly and only require light brushing once a week to keep the coat healthy.","History and Health of the Azawakh Dog Breed: The elegant Azawakh dates back to the early Nigerian civilization in West Africa,  but now is found worldwide. These beautiful sighthounds initially served as guard dogs, companions and hunting partners of nomadic people in the southern Sahara desert.","The Azawakh Dog Breed has a personality and temperament that is reserved and independent. With family, Azawakhs are faithful, gentle and affectionate. They often bond closely with one family member, rather than dividing their affection equally."
"Basenji Dog Breed ","The Basenji, also known as the African Barkless Dog, the Belgian Congo Dog, the African Bush Dog, the Congo Bush Dog, the Congo Hunting Terrier, the African Dingo, the Ango Angari, the Avuvi, the Congo Dog, the Congo Terrier, the Egyptian Dingo and the Zande dog, is one of the oldest of all dog breeds. “Basenji” in African means “Little Thing of the Bush.” Native names for the Basenji include M’bwa M’kubwa M’bwa Wanwitu, which means “the jumping-up-and-down Dog.” Basenjis were brought from the source of the Nile as gifts to the Pharaohs of ancient Egypt. This small, silky athletic dog, with its tightly twisted tail and up-pricked ears, has been an all-purpose hunting and companion dog for thousands of years. It is both a scenthound and a sighthound and has been trained both to point and to retrieve. It makes a wonderful urban companion, as long as it gets an enormous amount of regular exercise to satisfy its nearly limitless energy. The Basenji Club of America was formed in the mid-1940s, and the Basenji was accepted into the American Kennel Club for registration into the Hound Group in 1943.","Appearance & Grooming of the Basenji Dog Breed:  Basenjis are typically 16 inches at the shoulder for females and 17 inches at the shoulder for males and weigh between 22 and 24 pounds. Their short, fine coat is odorless and Basenjis clean themselves, making baths an infrequent requirement.","History and Health of the Basenji Dog Breed:  Basenjis are one of the oldest dog breeds in the world and were once presented to the Pharaohs of Egypt as a gift.  Created to be a hunting dog that could point, retrieve, and drive game; one of their greatest attributes was their ability to work independently.","The Basenji dog breed has a temperament and personality that is independent and highly energetic. With their family, the Basenji can be very affectionate and extremely playful. Their independent nature means they require a great deal of supervision and very consistent training."
"Basset Hound Dog Breed ","The Basset Hound, also known as the Badger Dog or simply as the Basset, is an old, aristocratic scentdog that has become one of the most well-known of all canine breeds. Gentle, kind and distinctive in appearance, the Basset is a loyal and affectionate pet and an easy keeper. The American Kennel Club registered its first Basset Hounds in 1885. The breed is a member of the Hound Group and is most well-known for its stubby but sturdy little legs, long low body, drooping ears and liquid brown eyes. The word basset is derived from the French adjective bas, which means “low thing,” “short” or “dwarf.” Basset Hounds have one of the best noses in the Hound Group, being second only to the Bloodhound. They are friendly, solemn and polite dogs, not prone to dramatic displays of either affection or excitement. Bassets are one of the most popular breeds in the United States and world wide.","Appearance & Grooming of the Basset Hound Dog Breed: Bassets stand from 11 to 14 inches at the shoulder, but they are long and meaty, weighing anywhere from 45 pounds to 65 pounds at maturity.  Their short coat sheds lightly, but can be kept under control with regular brushing.","History and Health of the Basset Hound Dog Breed:  Developed in the late 1500’s by the Friars of the Abbey of St. Hubert in France, these dogs were bred for tracking rabbits and deer. In the 1800’s the breed was changed a bit to develop the Basset Hounds that we know today.","The Basset Hound dog breed has a temperament and personality that is companionable and friendly. They do very well in households with children and other animals, and while they require regular walks, they are not high energy dogs."
"Beagle Dog Breed ","The Beagle, also known as the English Beagle, the Regal Beagle and the Jelly Dog, is instantly recognizable by its miniature foxhound look and is one of the most popular breeds in America.  It is the smallest of the British pack-hounds and, with the Otterhound and Bloodhound, is among the closest to the original ancestors of all hound breeds.  The origin of the Beagle’s name is not known, but it may derive from the Gaelic word “beag,” which means “little.”  It also may come from the French term ""be’geule,"" referring to the baying voice of the hounds when in pursuit of game.  The most well-known of all Beagles perhaps is Snoopy - Charlie Brown’s friend and companion from the “Peanuts” cartoon strip created by Charles Schultz.","Appearance & Grooming of the Beagle Dog Breed: The average Beagle stands about 13-15 inches high at the shoulder, and weighs between 18 – 30 pounds. Their short coats require minimal grooming and can be tri-color (black-white-and-tan), red and white and lemon.","History and Health of the Beagle Dog Breed:  The exact origin of the Beagle dog breed is unknown, but they are believed to be a creation of crossing some breeds of English sight and scent hounds which were bred to track rabbits and deer. Today’s Beagles were created in the 1860’s.","The Beagle dog breed has a personality and temperament that is friendly, happy-go-lucky, but sensitive in nature. While Beagles are not good guard dogs, they do make good watch dogs and will often sound a howling alert when new people or animals are near the home."
"Bearded Collies ","The Bearded Collie, also known as the Hairy Mou’ed Collie, the Highland Collie, the Mountain Collie, the Hairy Mountain Dog or simply the Beardie, is one of Britain’s oldest dog breeds.  They were introduced to the United States in the late 1950’s, but it was not until 1967 that the first litter of Bearded Collies was officially born in this country.  The Bearded Collie Club of America was founded in 1969.  The breed became eligible to be shown in the Miscellaneous class in American Kennel Club dog shows in 1974.  The AKC Stud Book was opened to Beardie registrations in 1976, and the breed became officially part of the Working Group in 1977.  In 1983, Bearded Collies joined the newly-formed AKC Herding Group.","The average Bearded Collie stands well over 2 feet tall, and they are on average between 40 – 60 pounds. Beardies have very long coats which require a lot of attention and grooming; they need to be brushed and cleaned on a regular basis or their beautiful fur can mat.","The original history of the Bearded Collie has been lost to history, but photos of the breed were found in portraits from the late 1770’s. The popularity of the Beardies began in Scotland where they were used as working and competition show dogs.","The personality and temperament of the Bearded Collie is said to be friendly, confident, and companionable nature. They make perfect house pets for families with children, but female Beardies can sometimes try to dominant other dogs."
"Beauceron ","The Beauceron, also known as the Bas Rouge, the Beauce Shepherd, the Berger de Beauce and the French Shorthaired Shepherd, is the largest of the French sheepherding dogs.  It is closely related to the longhaired Briard (Berger de Brie) and has been controlling flocks of sheep and herds of cattle since at least the 16th century.  The Beauceron is a muscular, deep-chested and imposing dog with a short coat and a long tail, somewhat resembling a cross between a Doberman Pinscher and a German Shepherd Dog.  This is a potentially aggressive breed, always ready to attack if it deems it necessary to protect its people, property or livestock.  However, if gently and consistently trained and socialized, thye Beauceron can make a loyal and trusted companion.  One of the more unusual features of the breed is the required presence of double dewclaws on its rear legs.  The Beauceron was only recently recognized by the American Kennel Club, becoming a member of the Herding Group in 2007.","The average Beauceron stands about 24-27 inches high and weighs between 70 – 110 pounds. They have a short rough outer coat with a wooly undercoat, and while they do not shed much the coat should be brushed on at least a weekly basis.","The history of the Beauceron begins in France, but the exact age of the breed is unknown. There are references to the breed from the late 1570’s, and they were bred as working sheep dogs, watch dogs for the home, and companion dogs.","The personality and temperament of the Beauceron Dog can be described as one of their best qualities.  The large size of the Beauceron breed can be intimidating, but these dogs are extremely loving and devoted to their families."
"Bedlington Terrier Dog Breed ","The Bedlington Terrier, also known as the Rodberry or Rothbury Terrier, the Northumberland Fox Terrier, the North Counties Terrier, the Gypsy Dog or simply the Bedlington, comes from a small mining village in the county of Northumberland, England. This lamb-like dog, with its pear-shaped head and arched back, looks like nothing else in the canine world. While the Bedlington’s body type and coat do not resemble that of the typical terrier, their personalities do. Bedlingtons have boundless energy and are intelligent, tenacious, friendly and bold. They are terrific family dogs and form strong bonds with their human companions. Despite its wooly cuteness, this is a tough breed with a strong work ethic – a terrier through and through. The Bedlington Terrier was accepted by the American Kennel Club in 1886 and is a member of the Terrier Group.","Appearance & Grooming of the Bedlington Terrier Dog Breed: The average Bedlington stands between 15 and 16 inches at the shoulder and weighs between 17 and 23 pounds.  Bedlingtons resemble lambs. They have pear-shaped heads and curly, fluffy coats that require professional grooming.","History and Health of the Bedlington Terrier Dog Breed:  The Bedlington Terrier was named after the mining shire of Bedlington of northern England. They were popular with miners, who used them to exterminate rats from mines.","The Bedlington Terrier dog breed has a personality and temperament that is friendly and bold, and they make great family dogs. They need plenty of exercise including space to run, and because of their intelligent nature they need plenty of mental stimulation and enjoy learning new commands and tricks."
